effects,name,pageUrl
,Bhang White Diesel,https://www.leafly.com/hybrid/bhang-white-diesel
Creative; Happy; Talkative; Aroused; Energetic,Bhang White Widow,https://www.leafly.com/hybrid/bhang-white-widow
,Bhang WidowMaker,https://www.leafly.com/hybrid/bhang-widowmaker
Headache,Bhang XJ-13,https://www.leafly.com/hybrid/bhang-xj-13
Creative; Energetic; Euphoric; Giggly; Happy,Biddy Early,https://www.leafly.com/hybrid/biddy-early
Relaxed; Happy; Creative; Uplifted; Euphoric,Big Buddha Cheese,https://www.leafly.com/hybrid/big-budda-cheese
Relaxed; Euphoric; Sleepy; Creative; Focused,Big Sky OG,https://www.leafly.com/hybrid/big-sky-og
Relaxed; Uplifted; Happy; Creative; Focused,Bio-Diesel,https://www.leafly.com/hybrid/bio-diesel
Relaxed; Euphoric; Hungry; Happy; Creative,Bio-Jesus,https://www.leafly.com/hybrid/bio-jesus
Happy; Relaxed; Euphoric; Uplifted; Creative,Birthday Cake Kush,https://www.leafly.com/hybrid/birthday-cake-kush
Euphoric; Happy; Uplifted; Relaxed; Creative,Black Betty,https://www.leafly.com/hybrid/black-betty
Relaxed; Happy; Euphoric; Uplifted; Energetic,Black Cherry Soda,https://www.leafly.com/hybrid/black-cherry-soda
Relaxed; Euphoric; Sleepy; Uplifted; Creative,Black Dahlia,https://www.leafly.com/hybrid/black-dhalia
Euphoric; Uplifted; Happy; Relaxed; Creative,Black Haze,https://www.leafly.com/hybrid/black-haze
Relaxed; Happy; Uplifted; Euphoric; Creative,Black Jack,https://www.leafly.com/hybrid/black-jack
Relaxed; Happy; Sleepy; Euphoric; Focused,Black Tuna,https://www.leafly.com/hybrid/black-tuna
Relaxed; Happy; Giggly; Sleepy; Hungry,Black Velvet,https://www.leafly.com/hybrid/black-velvet
Relaxed; Happy; Euphoric; Uplifted; Creative,Black Widow,https://www.leafly.com/hybrid/black-widow
Relaxed; Happy; Euphoric; Uplifted; Sleepy,Blackberry,https://www.leafly.com/hybrid/blackberry
Relaxed; Happy; Creative; Euphoric; Uplifted,Blackberry Trainwreck,https://www.leafly.com/hybrid/blackberry-trainwreck
Relaxed; Uplifted; Euphoric; Happy; Creative,Blissful Wizard,https://www.leafly.com/hybrid/blissful-wizard
Sleepy; Relaxed; Euphoric; Giggly; Tingly,Blockhead,https://www.leafly.com/hybrid/blockhead
Relaxed; Euphoric; Happy; Uplifted; Tingly,Blowfish,https://www.leafly.com/hybrid/blowfish
Happy; Energetic; Relaxed; Hungry; Dry Mouth,Blue Boy,https://www.leafly.com/hybrid/blue-boy
