medical,name,pageUrl
Fatigue,Bhang Skunk #1,https://www.leafly.com/hybrid/bhang-skunk-1
Depression; Inflammation; Muscle Spasms; Nausea; Pain,Bhang Skywalker OG,https://www.leafly.com/hybrid/bhang-skywalker-og
,Bhang Sour OG,https://www.leafly.com/hybrid/bhang-sour-og
,Bhang Tahoe OG,https://www.leafly.com/hybrid/bhang-tahoe-og
,Bhang Trainwreck,https://www.leafly.com/hybrid/bhang-trainwreck
,Bhang White Diesel,https://www.leafly.com/hybrid/bhang-white-diesel
Anxious,Bhang White Widow,https://www.leafly.com/hybrid/bhang-white-widow
,Bhang WidowMaker,https://www.leafly.com/hybrid/bhang-widowmaker
,Bhang XJ-13,https://www.leafly.com/hybrid/bhang-xj-13
Depression; Fatigue; Insomnia; Lack of Appetite; Nausea,Biddy Early,https://www.leafly.com/hybrid/biddy-early
Stress; Pain; Depression; Insomnia; Fatigue,Big Buddha Cheese,https://www.leafly.com/hybrid/big-budda-cheese
Insomnia; Lack of Appetite; Muscle Spasms; Cramps; Nausea,Big Sky OG,https://www.leafly.com/hybrid/big-sky-og
Stress; Pain; Depression; Lack of Appetite; Nausea,Bio-Diesel,https://www.leafly.com/hybrid/bio-diesel
Pain; Stress; Insomnia; Nausea; Fatigue,Bio-Jesus,https://www.leafly.com/hybrid/bio-jesus
Stress; Pain; Headaches; Insomnia; Depression,Birthday Cake Kush,https://www.leafly.com/hybrid/birthday-cake-kush
Stress; Depression; Pain; Inflammation; Nausea,Black Betty,https://www.leafly.com/hybrid/black-betty
Stress; Pain; Depression; Muscle Spasms; Headaches,Black Cherry Soda,https://www.leafly.com/hybrid/black-cherry-soda
Stress; Insomnia; Depression; Nausea; Pain,Black Dahlia,https://www.leafly.com/hybrid/black-dhalia
Pain; Stress; Depression; Headaches; Insomnia,Black Haze,https://www.leafly.com/hybrid/black-haze
Stress; Pain; Depression; Headaches; Insomnia,Black Jack,https://www.leafly.com/hybrid/black-jack
Stress; Insomnia; Pain; Depression; Lack of Appetite,Black Tuna,https://www.leafly.com/hybrid/black-tuna
Nausea; Lack of Appetite; Pain; Depression; Eye Pressure,Black Velvet,https://www.leafly.com/hybrid/black-velvet
Pain; Stress; Nausea; Depression; Fatigue,Black Widow,https://www.leafly.com/hybrid/black-widow
Pain; Stress; Depression; Insomnia; Lack of Appetite,Blackberry,https://www.leafly.com/hybrid/blackberry
Depression; Lack of Appetite; Pain; Stress; Cramps,Blackberry Trainwreck,https://www.leafly.com/hybrid/blackberry-trainwreck
Fatigue; Stress; Pain; Nausea; Depression,Blissful Wizard,https://www.leafly.com/hybrid/blissful-wizard
Pain; Stress; Insomnia; Fatigue; Headaches,Blockhead,https://www.leafly.com/hybrid/blockhead
Stress; Pain; Insomnia; Depression; Muscle Spasms,Blowfish,https://www.leafly.com/hybrid/blowfish
Stress; Pain; Depression; Fatigue; Insomnia,Blue Boy,https://www.leafly.com/hybrid/blue-boy
Depression; Stress; Nausea; Pain; Fatigue,Blue Champagne,https://www.leafly.com/hybrid/blue-champange
Pain; Stress; Insomnia; Lack of Appetite; Muscle Spasms,Blue Cookies,https://www.leafly.com/hybrid/blue-cookies
Stress; Fatigue; Pain; Insomnia; Lack of Appetite,Blue Crack,https://www.leafly.com/hybrid/blue-crack
Stress; Depression; Pain; Lack of Appetite; Fatigue,Blue Diesel,https://www.leafly.com/hybrid/blue-diesel
Stress; Pain; Depression; Nausea; Headaches,Blue Dragon,https://www.leafly.com/hybrid/blue-dragon
Stress; Depression; Pain; Insomnia; Headaches,Blue Dream,https://www.leafly.com/hybrid/blue-dream
Pain; Stress; Depression; Muscle Spasms; Insomnia,Blue Frost,https://www.leafly.com/hybrid/blue-frost
Stress; Headaches; Depression; Muscle Spasms; Pain,Blue Goo,https://www.leafly.com/hybrid/blue-goo
Stress; Lack of Appetite; Insomnia; Depression; Pain,Blue Hash,https://www.leafly.com/hybrid/blue-hash
Stress; Pain; Depression; Insomnia; Nausea,Blue Hawaiian,https://www.leafly.com/hybrid/blue-hawaiian
Stress; Depression; Pain; Lack of Appetite; Nausea,Blue Haze,https://www.leafly.com/hybrid/blue-haze
Insomnia; Pain; Stress,Blue Heron,https://www.leafly.com/hybrid/blue-heron
Stress; Depression; Lack of Appetite; Insomnia; Headaches,Blue Ivy,https://www.leafly.com/hybrid/blue-ivy
Stress; Depression; Fatigue; Lack of Appetite; Nausea,Blue Kush,https://www.leafly.com/hybrid/blue-kush
