negatives,name,pageUrl
,Blissful Wizard,https://www.leafly.com/hybrid/blissful-wizard
Dry Mouth; Dizzy; Dry Eyes; Headache; Paranoid,Blockhead,https://www.leafly.com/hybrid/blockhead
Dry Mouth,Blowfish,https://www.leafly.com/hybrid/blowfish
Headache; Anxious; Dry Eyes; Dry Mouth; Paranoid,Blue Boy,https://www.leafly.com/hybrid/blue-boy
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,Blue Champagne,https://www.leafly.com/hybrid/blue-champange
Anxious; Dry Mouth; Paranoid,Blue Cookies,https://www.leafly.com/hybrid/blue-cookies
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,Blue Crack,https://www.leafly.com/hybrid/blue-crack
Dry Mouth; Dizzy; Dry Eyes; Headache; Anxious,Blue Diesel,https://www.leafly.com/hybrid/blue-diesel
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Anxious,Blue Dragon,https://www.leafly.com/hybrid/blue-dragon
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,Blue Dream,https://www.leafly.com/hybrid/blue-dream
Dry Mouth,Blue Frost,https://www.leafly.com/hybrid/blue-frost
Dry Mouth; Dry Eyes; Headache; Paranoid; Dizzy,Blue Goo,https://www.leafly.com/hybrid/blue-goo
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,Blue Hash,https://www.leafly.com/hybrid/blue-hash
Dry Eyes; Dry Mouth; Headache; Paranoid; Dizzy,Blue Hawaiian,https://www.leafly.com/hybrid/blue-hawaiian
Dry Mouth; Anxious; Dry Eyes; Paranoid; Dizzy,Blue Haze,https://www.leafly.com/hybrid/blue-haze
,Blue Heron,https://www.leafly.com/hybrid/blue-heron
Dry Mouth; Dry Eyes; Paranoid; Dizzy,Blue Ivy,https://www.leafly.com/hybrid/blue-ivy
Dizzy; Dry Eyes; Dry Mouth,Blue Kush,https://www.leafly.com/hybrid/blue-kush
Dry Mouth; Anxious; Dry Eyes; Dizzy,Blue Magoo,https://www.leafly.com/hybrid/blue-magoo
Dry Mouth; Anxious; Paranoid,Blue Moon Rocks,https://www.leafly.com/hybrid/blue-moon-rocks
Dry Mouth; Paranoid,Blue Nightmare,https://www.leafly.com/hybrid/blue-nightmare
Dry Mouth; Dry Eyes; Dizzy; Headache; Anxious,Blue OG,https://www.leafly.com/hybrid/blue-og
,Blue Persuasion,https://www.leafly.com/hybrid/blue-persuasion
Dry Mouth; Dry Eyes; Headache; Dizzy; Anxious,Blue Rhino,https://www.leafly.com/hybrid/blue-rhino
,Blue Sky,https://www.leafly.com/hybrid/blue-sky
,Blue Thai,https://www.leafly.com/hybrid/blue-thai
Dry Mouth; Dry Eyes; Dizzy,Blue Trainwreck,https://www.leafly.com/hybrid/blue-train
,Blue Treat,https://www.leafly.com/hybrid/blue-treat
,Blue Velvet,https://www.leafly.com/hybrid/blue-velvet
Dry Mouth; Dry Eyes,Blue Venom,https://www.leafly.com/hybrid/blue-venom
Dry Mouth; Dry Eyes; Headache; Paranoid; Dizzy,Blue Widow,https://www.leafly.com/hybrid/blue-widow
Anxious; Dizzy; Dry Eyes,Blue Wreck,https://www.leafly.com/hybrid/blue-wreck
Dry Mouth; Dry Eyes; Headache; Paranoid; Dizzy,Blueberry Cheesecake,https://www.leafly.com/hybrid/blueberry-cheesecake
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Anxious,Blueberry Diesel,https://www.leafly.com/hybrid/blueberry-diesel
Dry Mouth; Dry Eyes,Blueberry Essence,https://www.leafly.com/hybrid/blueberry-essence
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Anxious,Blueberry Haze,https://www.leafly.com/hybrid/blueberry-haze
Dry Mouth; Dry Eyes; Dizzy; Headache; Paranoid,Blueberry Headband,https://www.leafly.com/hybrid/blueberry-headband
Dry Mouth; Dry Eyes; Paranoid; Headache; Anxious,Blueberry Jack,https://www.leafly.com/hybrid/blueberry-jack
,Blueberry Lambsbread,https://www.leafly.com/hybrid/blueberry-lambsbread
,Blueberry Silvertip,https://www.leafly.com/hybrid/blueberry-silvertip
