effects,name,pageUrl
Effects Medical Negatives Talkative Uplifted Creative Focused Energetic Stress Pain Fatigue Muscle Spasms Inflammation Dry Mouth Dry Eyes Dizzy Headache Paranoid,Banana Diesel,https://www.leafly.com/hybrid/banana-diesel
Effects Medical Negatives Relaxed Happy Euphoric Uplifted Creative Stress Depression Pain Insomnia Fatigue Dry Mouth Dry Eyes Dizzy Anxious Paranoid,Banana Kush,https://www.leafly.com/hybrid/banana-kush
Effects Medical Negatives Relaxed Happy Euphoric Uplifted Focused Pain Stress Depression Inflammation Insomnia Dry Mouth Dry Eyes Dizzy Paranoid Anxious,Banana OG,https://www.leafly.com/hybrid/banana-og
,Banana Peel,https://www.leafly.com/hybrid/banana-peel
Effects Medical Happy Relaxed Giggly Hungry Euphoric Depression Stress Pain Nausea,Bananas,https://www.leafly.com/hybrid/bananas
Effects Medical Euphoric Happy Uplifted Tingly Creative Depression Fatigue Pain Stress Headaches,Bandana,https://www.leafly.com/hybrid/bandana
Effects Medical Negatives Uplifted Relaxed Happy Euphoric Creative Pain Stress Fatigue Lack of Appetite Nausea Dry Eyes Dry Mouth,Beastmode OG,https://www.leafly.com/hybrid/beast-mode-og
Effects Medical Negatives Creative Uplifted Relaxed Focused Euphoric Pain Fatigue Headaches Eye Pressure Stress Dry Mouth Paranoid Anxious Dizzy Dry Eyes,Belladonna,https://www.leafly.com/hybrid/belladonna
Effects Medical Negatives Happy Relaxed Euphoric Uplifted Tingly Stress Pain Insomnia Depression Inflammation Anxious Dry Eyes Dry Mouth Paranoid Dizzy,Berry Bomb,https://www.leafly.com/hybrid/berry-bomb
Effects Medical Negatives Relaxed Euphoric Happy Giggly Uplifted Stress Depression Insomnia Pain Lack of Appetite Dry Mouth Dry Eyes,Berry OG,https://www.leafly.com/hybrid/berry-og
Effects Medical Relaxed Creative Energetic Euphoric Talkative Depression Inflammation Pain Stress Muscle Spasms,Bettie Page,https://www.leafly.com/hybrid/bettie-page
,Bhang 707 Headband,https://www.leafly.com/hybrid/bhang-707-headband
,Bhang AK-47,https://www.leafly.com/hybrid/bhang-ak-47
,Bhang Alien OG,https://www.leafly.com/hybrid/bhang-alien-og
,Bhang Banana Diesel,https://www.leafly.com/hybrid/bhang-banana-diesel
,Bhang Banana Kush,https://www.leafly.com/hybrid/bhang-banana-kush
,Bhang Blue Diesel,https://www.leafly.com/hybrid/bhang-blue-diesel
,Bhang Bubble Gum,https://www.leafly.com/hybrid/bhang-bubble-gum
,Bhang Cali Orange,https://www.leafly.com/hybrid/bhang-cali-orange
Effects Euphoric Relaxed,Bhang Charlie Sheen,https://www.leafly.com/hybrid/bhang-charlie-sheen
,Bhang Cheese,https://www.leafly.com/hybrid/bhang-cheese
Effects Medical Energetic Happy Relaxed Uplifted Headaches Nausea Pain Stress,Bhang ChemDawg,https://www.leafly.com/hybrid/bhang-chemdawg
,Bhang Cherry Pie,https://www.leafly.com/hybrid/bhang-cherry-pie
Effects Focused Hungry,Bhang Dutch Treat,https://www.leafly.com/hybrid/bhang-dutch-treat
,Bhang Earth OG,https://www.leafly.com/hybrid/bhang-earth-og
,Bhang Fire OG,https://www.leafly.com/hybrid/bhang-fire-og
,Bhang Ghost OG,https://www.leafly.com/hybrid/bhang-ghost-og
Effects Medical Relaxed Euphoric Uplifted Aroused Creative Depression Pain Stress Inflammation Lack of Appetite,Bhang Girl Scout Cookies,https://www.leafly.com/hybrid/bhang-girl-scout-cookies
,Bhang Headband,https://www.leafly.com/hybrid/bhang-headband
